id,PROLIFIC_ID,STUDY_ID,SESSION_ID,treatment,secondsTaken,rumour,rumourId,evidence,code,mockGender,timestamp,warning,reshared
1,1,1,1,True,93.87,R1,R1-1,high,questions,Female,57,False,True
1,1,1,1,True,93.87,R2,R2-1,low,questions,Female,9,False,True
1,1,1,1,True,93.87,R1,R1-2,high,affirms,Male,48,False,True
1,1,1,1,True,93.87,R2,R2-2,low,affirms,Female,21,True,False
1,1,1,1,True,93.87,R1,R1-3,high,affirms,Male,23,False,True
1,1,1,1,True,93.87,R2,R2-3,low,questions,Male,5,False,False
1,1,1,1,True,93.87,R1,R1-4,high,denies,Female,13,False,True
1,1,1,1,True,93.87,R2,R2-4,low,denies,Female,36,False,True
1,1,1,1,True,93.87,R1,R1-5,high,affirms,Male,26,False,False
1,1,1,1,True,93.87,R2,R2-5,low,affirms,Male,57,True,True
1,1,1,1,True,93.87,R1,R1-6,high,affirms,Male,18,False,True
1,1,1,1,True,93.87,R2,R2-6,low,questions,Female,56,False,False
1,1,1,1,True,93.87,R1,R1-7,high,denies,Female,11,False,False
1,1,1,1,True,93.87,R2,R2-7,low,affirms,Female,51,True,False
1,1,1,1,True,93.87,R1,R1-8,high,neutral,Male,51,False,False
1,1,1,1,True,93.87,R2,R2-8,low,affirms,Male,49,False,False
1,1,1,1,True,93.87,R1,R1-9,high,questions,Male,58,False,False
1,1,1,1,True,93.87,R2,R2-9,low,denies,Male,47,False,True
1,1,1,1,True,93.87,R1,R1-10,high,affirms,Female,51,False,True
1,1,1,1,True,93.87,R2,R2-10,low,denies,Female,17,False,True
2,2,1,2,True,78.85,R1,R1-1,high,neutral,Male,10,False,False
2,2,1,2,True,78.85,R2,R2-1,low,affirms,Male,26,True,False
2,2,1,2,True,78.85,R1,R1-2,high,affirms,Male,6,False,False
2,2,1,2,True,78.85,R2,R2-2,low,questions,Male,12,False,False
2,2,1,2,True,78.85,R1,R1-3,high,questions,Female,27,False,False
2,2,1,2,True,78.85,R2,R2-3,low,affirms,Female,24,True,False
2,2,1,2,True,78.85,R1,R1-4,high,affirms,Male,21,False,False
2,2,1,2,True,78.85,R2,R2-4,low,affirms,Male,32,True,False
2,2,1,2,True,78.85,R1,R1-5,high,denies,Female,39,False,True
2,2,1,2,True,78.85,R2,R2-5,low,denies,Female,29,False,True
2,2,1,2,True,78.85,R1,R1-6,high,affirms,Female,39,False,True
2,2,1,2,True,78.85,R2,R2-6,low,affirms,Female,12,False,False
2,2,1,2,True,78.85,R1,R1-7,high,neutral,Male,58,False,False
2,2,1,2,True,78.85,R2,R2-7,low,denies,Female,18,False,True
2,2,1,2,True,78.85,R1,R1-8,high,denies,Female,45,False,True
2,2,1,2,True,78.85,R2,R2-8,low,neutral,Female,38,False,True
2,2,1,2,True,78.85,R1,R1-9,high,denies,Male,45,False,True
2,2,1,2,True,78.85,R2,R2-9,low,denies,Female,20,False,True
2,2,1,2,True,78.85,R1,R1-10,high,denies,Female,40,False,False
2,2,1,2,True,78.85,R2,R2-10,low,questions,Male,17,False,False
3,3,1,3,True,77.2,R1,R1-1,high,denies,Female,58,False,False
3,3,1,3,True,77.2,R2,R2-1,low,neutral,Male,44,False,True
3,3,1,3,True,77.2,R1,R1-2,high,denies,Male,57,False,False
3,3,1,3,True,77.2,R2,R2-2,low,affirms,Female,45,True,False
3,3,1,3,True,77.2,R1,R1-3,high,affirms,Male,51,False,True
3,3,1,3,True,77.2,R2,R2-3,low,affirms,Male,22,False,False
3,3,1,3,True,77.2,R1,R1-4,high,affirms,Female,15,False,True
3,3,1,3,True,77.2,R2,R2-4,low,neutral,Male,30,False,False
3,3,1,3,True,77.2,R1,R1-5,high,affirms,Male,23,False,True
3,3,1,3,True,77.2,R2,R2-5,low,denies,Male,20,False,False
3,3,1,3,True,77.2,R1,R1-6,high,questions,Female,15,False,True
3,3,1,3,True,77.2,R2,R2-6,low,denies,Male,20,False,True
3,3,1,3,True,77.2,R1,R1-7,high,affirms,Male,38,False,False
3,3,1,3,True,77.2,R2,R2-7,low,denies,Female,37,False,False
3,3,1,3,True,77.2,R1,R1-8,high,denies,Female,22,False,False
3,3,1,3,True,77.2,R2,R2-8,low,questions,Male,41,False,True
3,3,1,3,True,77.2,R1,R1-9,high,affirms,Female,39,False,False
3,3,1,3,True,77.2,R2,R2-9,low,questions,Male,11,False,True
3,3,1,3,True,77.2,R1,R1-10,high,affirms,Male,38,False,False
3,3,1,3,True,77.2,R2,R2-10,low,denies,Female,24,False,True
4,4,1,4,False,116.92,R1,R1-1,high,affirms,Male,7,False,False
4,4,1,4,False,116.92,R2,R2-1,low,affirms,Male,21,False,False
4,4,1,4,False,116.92,R1,R1-2,high,affirms,Female,5,False,False
4,4,1,4,False,116.92,R2,R2-2,low,questions,Female,4,False,True
4,4,1,4,False,116.92,R1,R1-3,high,affirms,Female,25,False,False
4,4,1,4,False,116.92,R2,R2-3,low,affirms,Male,5,False,False
4,4,1,4,False,116.92,R1,R1-4,high,denies,Female,6,False,False
4,4,1,4,False,116.92,R2,R2-4,low,affirms,Male,4,False,True
4,4,1,4,False,116.92,R1,R1-5,high,affirms,Male,41,False,False
4,4,1,4,False,116.92,R2,R2-5,low,questions,Female,8,False,False
4,4,1,4,False,116.92,R1,R1-6,high,neutral,Male,5,False,False
4,4,1,4,False,116.92,R2,R2-6,low,affirms,Female,43,False,False
4,4,1,4,False,116.92,R1,R1-7,high,denies,Male,15,False,True
4,4,1,4,False,116.92,R2,R2-7,low,denies,Male,35,False,True
